service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
feed_0_12117819_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12117826_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12117827_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12117829_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12117831_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12117832_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12117834_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12117835_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12117837_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12117838_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12117840_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12117841_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12117847_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12117848_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12117851_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12117852_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12117878_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12117879_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12117881_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12117882_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12117967_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12117969_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12117970_temporally_filtered_0,0,0,0,0,0,0,0,20161214,20161214
feed_0_12117971_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12117972_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12164126_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12164148_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12164373_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12164374_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12164376_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12164381_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12164382_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12164384_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12164385_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12164386_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12164388_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12164422_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12164423_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12164424_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12165701_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12169304_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12169305_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12169307_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12169309_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12177044_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12177045_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12177047_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12177048_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12178228_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12178229_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12178231_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12178673_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12178678_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12178763_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12178767_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12178783_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12178795_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12178826_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12178832_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12178848_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12178967_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12178969_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12179275_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12181043_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12181044_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12181048_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12181057_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12181058_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12181062_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12181816_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12182622_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12182623_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12182624_temporally_filtered_0,0,0,0,0,0,0,0,20161215,20161215
feed_0_12182625_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12182626_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12182627_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12182628_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12182629_temporally_filtered_0,0,0,0,0,0,0,0,20161215,20161215
feed_0_12182630_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12182631_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12186217_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12186220_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12187395_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12187397_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12187398_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12187489_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12187492_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12187504_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12187507_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12187515_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12187524_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12189038_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12189050_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12189069_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191141_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191212_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191219_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191221_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191225_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191232_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191234_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191238_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191240_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191241_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191242_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191244_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191248_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191250_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191263_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191266_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191268_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191272_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191278_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191281_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191283_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191287_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191297_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191300_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191301_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191303_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191304_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12191307_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191308_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191310_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12191312_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191313_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191316_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12191317_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191319_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191320_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12191323_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191325_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191326_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191328_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191329_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191342_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191343_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191346_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191347_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191350_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191351_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12191354_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191370_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191373_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191374_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191451_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191452_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12191455_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12191456_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12191458_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12191459_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12191462_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12203285_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12203287_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12203289_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12205256_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12205257_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12205261_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12205264_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12206547_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206551_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12206552_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206555_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206556_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
