transfer_type,min_transfer_time,from_stop_id,to_stop_id
2,192.0,feed_0_1166840,
2,247.0,feed_0_1166840,feed_0_3749691
2,202.0,feed_0_1166840,feed_0_3764794
2,202.0,feed_0_1166840,
2,195.0,feed_0_1166840,feed_0_3893335
2,195.0,feed_0_1166840,
2,205.0,feed_0_1166840,
2,225.0,feed_0_1166840,
2,225.0,feed_0_1166840,
2,254.0,feed_0_1166840,
2,227.0,feed_0_1166840,
2,226.0,feed_0_1166840,
2,227.0,feed_0_1166840,
2,216.0,feed_0_1166840,
2,254.0,feed_0_1166840,
2,192.0,feed_0_1166840,
2,226.0,feed_0_1166840,
2,216.0,feed_0_1166840,
2,225.0,feed_0_1166840,
2,225.0,feed_0_1166840,
2,247.0,feed_0_1166840,
2,254.0,feed_0_1166840,
2,226.0,feed_0_1166840,
2,189.0,feed_0_1166840,feed_0_5657267
2,199.0,feed_0_1166840,
2,214.0,feed_0_1166840,
2,140.0,,feed_0_1715
2,180.0,,feed_0_1724
2,140.0,,
2,180.0,,
2,195.0,,feed_0_3747809
2,195.0,,
2,214.0,,
2,189.0,,feed_0_3749689
2,192.0,,
2,247.0,,feed_0_3749691
2,202.0,,feed_0_3764794
2,202.0,,
2,195.0,,feed_0_3893335
2,195.0,,
2,205.0,,
2,225.0,,
2,225.0,,
2,254.0,,
2,227.0,,
2,226.0,,
2,227.0,,
2,216.0,,
2,254.0,,
2,192.0,,
2,226.0,,
2,216.0,,
2,225.0,,
2,225.0,,
2,247.0,,
2,254.0,,
2,226.0,,
2,189.0,,feed_0_5657267
2,199.0,,
2,214.0,,
2,281.0,feed_0_1629,
2,238.0,feed_0_1629,
2,72.0,feed_0_1630,feed_0_1629
2,72.0,feed_0_1630,
2,241.0,feed_0_1630,feed_0_3740310
2,251.0,feed_0_1630,feed_0_3740329
2,238.0,feed_0_1630,feed_0_3740330
2,258.0,feed_0_1630,feed_0_4009647
2,281.0,feed_0_1630,feed_0_4009648
2,281.0,feed_0_1630,
2,238.0,feed_0_1630,
2,238.0,feed_0_1630,
2,281.0,feed_0_1630,
2,215.0,feed_0_1631,feed_0_3926268
2,215.0,feed_0_1631,
2,193.0,feed_0_1631,feed_0_5922162
2,255.0,feed_0_1631,feed_0_5922163
2,198.0,feed_0_1632,
2,198.0,feed_0_1632,
2,198.0,feed_0_1632,
2,198.0,feed_0_1632,
2,259.0,feed_0_1634,feed_0_5018173
2,216.0,feed_0_1634,feed_0_5018174
2,198.0,feed_0_1636,feed_0_3682706
2,198.0,feed_0_1636,
2,198.0,feed_0_1636,
2,198.0,feed_0_1636,
2,195.0,feed_0_1639,feed_0_4036804
2,189.0,feed_0_1639,feed_0_4036805
2,297.0,feed_0_1639,feed_0_4378059
2,273.0,feed_0_1639,feed_0_4378060
2,323.0,feed_0_1639,feed_0_4378061
2,282.0,feed_0_1641,feed_0_3764975
2,241.0,feed_0_1641,feed_0_3926302
2,231.0,feed_0_1641,feed_0_3926303
2,223.0,feed_0_1644,feed_0_5582589
2,235.0,feed_0_1644,feed_0_5582590
2,90.0,feed_0_1645,feed_0_1763
2,90.0,feed_0_1645,
2,261.0,feed_0_1645,feed_0_5138046
2,261.0,feed_0_1645,
2,188.0,feed_0_1645,feed_0_5138191
2,261.0,feed_0_1645,
2,188.0,feed_0_1645,
2,238.0,feed_0_1646,feed_0_3687419
2,255.0,feed_0_1646,feed_0_3887774
2,275.0,feed_0_1646,feed_0_3887775
2,272.0,feed_0_1646,feed_0_3893424
2,284.0,feed_0_1646,feed_0_3893425
2,238.0,feed_0_1646,
2,238.0,feed_0_1646,
2,190.0,feed_0_1646,
2,190.0,feed_0_1646,
2,199.0,feed_0_1646,
2,238.0,feed_0_1646,
2,112.0,feed_0_1648,feed_0_1794
2,116.0,feed_0_1648,
2,243.0,feed_0_1648,feed_0_3764527
2,199.0,feed_0_1648,feed_0_3764528
2,216.0,feed_0_1648,feed_0_3764540
2,221.0,feed_0_1648,feed_0_3765258
2,221.0,feed_0_1648,
2,248.0,feed_0_1648,feed_0_3893369
2,216.0,feed_0_1648,feed_0_3893370
2,203.0,feed_0_1648,feed_0_3893371
2,248.0,feed_0_1648,
2,214.0,feed_0_1648,feed_0_3893446
2,216.0,feed_0_1648,
2,203.0,feed_0_1648,
2,243.0,feed_0_1648,
2,199.0,feed_0_1648,
2,216.0,feed_0_1648,
2,243.0,feed_0_1648,
2,221.0,feed_0_1648,
2,199.0,feed_0_1648,
2,216.0,feed_0_1648,
2,243.0,feed_0_1648,
2,199.0,feed_0_1648,
2,216.0,feed_0_1648,
2,219.0,feed_0_1649,feed_0_4036777
2,213.0,feed_0_1649,feed_0_4036778
2,248.0,feed_0_1650,feed_0_3764624
2,234.0,feed_0_1650,feed_0_3764638
2,248.0,feed_0_1650,
2,210.0,feed_0_1650,feed_0_3764970
2,197.0,feed_0_1650,feed_0_3764991
2,278.0,feed_0_1650,feed_0_3893432
2,210.0,feed_0_1650,
2,197.0,feed_0_1650,
2,248.0,feed_0_1650,
2,226.0,feed_0_1650,
2,210.0,feed_0_1650,
2,197.0,feed_0_1650,
2,234.0,feed_0_1650,
2,234.0,feed_0_1650,
2,234.0,feed_0_1650,
2,248.0,feed_0_1650,
2,136.0,feed_0_1651,feed_0_1832
2,166.0,feed_0_1651,
2,297.0,feed_0_1652,feed_0_4614261
2,249.0,feed_0_1652,
2,297.0,feed_0_1652,
2,91.0,feed_0_1653,feed_0_1845
2,80.0,feed_0_1653,
2,227.0,feed_0_1653,feed_0_3442422
2,246.0,feed_0_1653,feed_0_3442423
2,187.0,feed_0_1653,feed_0_3687424
2,189.0,feed_0_1653,feed_0_3687425
2,186.0,feed_0_1653,feed_0_3748044
2,232.0,feed_0_1653,feed_0_3748045
2,232.0,feed_0_1653,
2,186.0,feed_0_1653,
2,227.0,feed_0_1653,
2,186.0,feed_0_1653,
2,232.0,feed_0_1653,
2,186.0,feed_0_1653,
2,186.0,feed_0_1653,
2,180.0,feed_0_1655,feed_0_1883
2,187.0,feed_0_1655,
2,225.0,feed_0_1655,feed_0_4036852
2,245.0,feed_0_1655,feed_0_4036853
