stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding,parent_station
feed_0_4377777,,MARCHE INTERNATIONAL DE RUNGIS,PISTE GARE ROUTIERE - 94021,48.76371165042406,2.357213241133877,0,,
feed_0_4377778,,THIAIS PONT DE RUNGIS,AVENUE DU DOCTEUR MARIE - 94073,48.74627181595754,2.3698871247463935,0,,
feed_0_4377780,,LUCIEN GRELINGER,24 VOIE AU LARD - 94065,48.74999699907987,2.347190548800534,0,,
feed_0_4377982,,8 MAI 1945,3 BIS AV DU PARC DES SPORTS - 94034,48.752880176429336,2.313140839890511,0,,
feed_0_4377986,,THIBAUDES,AV DU PARC DES SPORTS - 94034,48.749879812834166,2.3238528331836896,0,,
feed_0_4377988,,MAISON DE RETRAITE,FACE 27-29 R JULIEN CHAILLIOUX - 94034,48.75285487728444,2.3236345795952063,0,,
feed_0_4377993,,CLOS LA GARENNE,AV EDOUARD HERRIOT - 94034,48.755722497853945,2.327698333047571,0,,
feed_0_4377998,,POSTE ANNEXE,FACE 2 R DU GENERAL LOUIS WARABIOT - 94034,48.764962261664856,2.327383924362789,0,,
feed_0_4378000,,AVARA - GYMNASE VALLEE AUX RENARDS,22 R JEAN MOULIN - 94034,48.76514164025628,2.3235225905373227,0,,
feed_0_4378002,,A.R.E.P.A.,2 R LEON BLUM - 94038,48.76834145416728,2.3240384295926004,0,,
feed_0_4378010,,PETIT ROBINSON,46 RUE DE LA COSARDE - 94038,48.77936119499181,2.3286051752442676,0,,
feed_0_4378012,,COMMISSARIAT DE L'HAY-LES-ROSES,24 AVENUE JULES GRAVEREAUX - 94038,48.7774019620586,2.330998984286633,0,,
feed_0_4378025,,DE GAULLE - GOUNOD - TABANOU.,32 AVENUE DU GENERAL DE GAULLE - 94038,48.78045797701497,2.3412259177410433,0,,
feed_0_4378027,,HENRI THIRARD - LEON JOUHAUX.,BOULEVARD PAUL VAILLANT COUTURIER - 94038,48.77878622247403,2.3408857974269104,0,,
feed_0_4378029,,STADE L'HAYETTE,R DE CHEVILLY - 94038,48.77590097447368,2.3433198061874574,0,,
feed_0_4378031,,CHEVILLY - DAHLIAS,85 R DE CHEVILLY - 94038,48.77473214865073,2.348568743113013,0,,
