route_I;route_name;route_type
577;157;3
578;157;3
579;159;3
580;159;3
581;160;3
582;160;3
583;241;3
584;241;3
585;275;3
587;278;3
588;278;3
589;360;3
590;360;3
591;367;3
592;367;3
593;467;3
594;467;3
595;559;3
596;559;3
599;565;3
600;565;3
601;560;3
602;560;3
603;210;3
604;210;3
627;114;3
628;114;3
629;563;3
630;563;3
631;545;3
632;545;3
633;148;3
634;148;3
635;253;3
636;253;3
637;122;3
638;122;3
639;220;3
640;220;3
641;560;3
642;560;3
647;269;3
648;269;3
649;368;3
650;368;3
651;133;3
652;133;3
653;167;3
654;167;3
655;247;3
656;247;3
657;542;3
658;542;3
659;319;3
660;319;3
661;319;3
662;319;3
663;121;3
664;121;3
671;292;3
672;292;3
673;396;3
674;396;3
675;583;3
676;583;3
677;585;3
678;585;3
679;216;3
705;169;3
706;169;3
707;323;3
708;323;3
709;459;3
710;459;3
711;471;3
712;471;3
715;173;3
716;173;3
717;120;3
718;120;3
719;206;3
720;206;3
721;306;3
722;306;3
723;310;3
724;310;3
725;320;3
726;320;3
727;303;3
728;303;3
729;303;3
730;303;3
731;152;3
732;152;3
733;152;3
734;152;3
735;165;3
736;165;3
737;183;3
738;183;3
739;183;3
740;183;3
741;189;3
742;189;3
743;249;3
744;249;3
745;111;3
746;111;3
747;20;3
748;20;3
755;426;3
756;426;3
757;192;3
758;192;3
761;132;3
762;132;3
765;251;3
766;251;3
767;188;3
768;188;3
769;297;3
770;297;3
771;587;3
772;587;3
773;65;3
774;65;3
775;31;3
776;31;3
777;66;3
778;66;3
779;47;3
780;47;3
781;366;3
782;366;3
783;566;3
784;566;3
785;390;3
786;390;3
787;394;3
788;394;3
789;138;3
790;138;3
791;290;3
792;290;3
793;237;3
794;237;3
795;379;3
796;379;3
801;238;3
802;238;3
803;289;3
804;289;3
805;391;3
806;391;3
809;194;3
810;194;3
811;395;3
812;395;3
813;68;3
814;68;3
815;356;3
816;356;3
817;256;3
818;256;3
819;234;3
820;234;3
823;254;3
824;254;3
825;261;3
826;261;3
827;261;3
828;261;3
829;337;3
830;337;3
831;361;3
832;361;3
837;128;3
838;128;3
841;380;3
842;380;3
843;194;3
845;196;3
846;196;3
847;538;3
849;538;3
850;538;3
851;538;3
852;538;3
853;538;3
854;538;3
855;538;3
856;538;3
857;244;3
858;244;3
859;AMIBUS;3
860;AMIBUS;3
861;109;3
862;109;3
863;139;3
864;139;3
867;67;3
868;67;3
869;111;3
870;111;3
871;111;3
872;111;3
873;112;3
874;112;3
875;270;3
876;270;3
877;248;3
878;248;3
879;26;3
880;26;3
883;172;3
884;172;3
887;325;3
888;325;3
889;85;3
890;85;3
893;255;3
894;255;3
895;268;3
896;268;3
897;72;3
898;72;3
903;239;3
904;239;3
905;572;3
906;572;3
909;35;3
910;35;3
911;54;3
912;54;3
913;60;3
914;60;3
915;178;3
916;178;3
917;146;3
918;146;3
921;330;3
922;330;3
923;148;3
924;148;3
925;294;3
926;294;3
927;195;3
928;195;3
929;143;3
930;143;3
931;119;3
932;119;3
933;299;3
934;299;3
935;299;3
936;299;3
937;131;3
938;131;3
939;259;3
940;259;3
941;163;3
942;163;3
943;258;3
944;258;3
945;385;3
946;385;3
949;399;3
950;399;3
953;285;3
954;285;3
963;389;3
964;389;3
965;102;3
966;102;3
967;EOLIEN;3
969;EOLIEN;3
970;EOLIEN;3
971;PC3;3
